Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,17-May-19,2108.75,2112.6,2135,2090,2094,2095.45,2107.34,1947908,4104894879,85798,891442,45.76
TCS,EQ,20-May-19,2095.45,2125,2151.4,2050,2148,2143.95,2119.5,2625116,5563937036,112038,1154403,43.98
TCS,EQ,21-May-19,2143.95,2148.05,2148.7,2102.55,2106.2,2109.75,2122.37,1863157,3954316659,100432,1042172,55.94
TCS,EQ,22-May-19,2109.75,2110,2121.95,2075,2090,2081.75,2091.31,2595795,5428609876,154844,1410070,54.32
TCS,EQ,23-May-19,2081.75,2098,2115.35,2050,2057,2054.05,2071.74,2541294,5264898714,122224,1169296,46.01
TCS,EQ,24-May-19,2054.05,2070,2070,2032.25,2050,2048,2051.14,2274208,4664725693,114179,1255954,55.23
TCS,EQ,27-May-19,2048,2054.8,2068.95,2040.1,2058,2055.15,2054.87,2329820,4787473258,85924,1377094,59.11
TCS,EQ,28-May-19,2055.15,2060,2097.5,2045,2068,2073.75,2076.46,5872979,12194983827,205972,4034671,68.7
TCS,EQ,29-May-19,2073.75,2080,2123.7,2077.1,2114.2,2107.55,2109.46,3281320,6921811131,177202,1508313,45.97
TCS,EQ,30-May-19,2107.55,2123,2156.55,2114.4,2146.3,2146.3,2142.62,4971725,10652535238,150672,2210404,44.46
TCS,EQ,31-May-19,2146.3,2160,2204.95,2152.25,2200,2196.55,2184.11,4265370,9316057232,161842,2338193,54.82
TCS,EQ,3-Jun-19,2196.55,2201,2247.65,2185.65,2240.1,2242.3,2223.68,3682419,8188536869,138425,1964140,53.34
TCS,EQ,4-Jun-19,2242.3,2224,2224,2175,2188,2183.1,2195.01,2408658,5287022188,98393,973876,40.43
TCS,EQ,6-Jun-19,2183.1,2199,2199,2152,2166,2166.1,2169.63,3735467,8104595595,116134,2225149,59.57
TCS,EQ,7-Jun-19,2166.1,2174,2189.8,2142.1,2179.8,2181.75,2161.21,2659446,5747611167,79783,886597,33.34
